"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","NLL_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","NatM_p_1_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","NLL_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","E","F","G","R","S","M","species","max_grad","version","StartTime","EndTime"
"221",1420620000,163156000,4084470000,0.355661811691603,-132.751,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1515400000,173412000,4353750000,0.35223428079242,2623.67,0,0.2,20.0419,131.343,0.201067,0.0946888,0.109188,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7693,0.65,0.4,0,0,0,0,0,-0.00398194,0,37.4165,9.7542,30.2877,9.72703,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",81,"D1","E0","F0","G0","R0","S0","M0","cod",9.53627e-06,"#V3.24O","StartTime: Thu Aug  8 21:32:56 2013","EndTime: Thu Aug  8 21:33:44 2013"
"222",1420620000,163156000,4084470000,0.313225461320563,-139.249,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1353210000,154117000,3887550000,0.317140615554784,2677.44,0,0.2,20.183,133.437,0.195791,0.0998539,0.0953224,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6397,0.65,0.4,0,0,0,0,0,0.0486956,0,38.1252,10.4552,31.0869,12.2494,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",82,"D1","E0","F0","G0","R0","S0","M0","cod",0.00455574,"#V3.24O","StartTime: Thu Aug  8 21:33:52 2013","EndTime: Thu Aug  8 21:34:41 2013"
"223",1420620000,163156000,4084470000,0.347144182721381,-136.672,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1399420000,159604000,4021810000,0.356384314525052,2667.92,0,0.2,20.005,134.127,0.194781,0.105673,0.0944122,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6646,0.65,0.4,0,0,0,0,0,0.0240513,0,38.6145,11.0004,29.9255,15.8291,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",83,"D1","E0","F0","G0","R0","S0","M0","cod",0.00497622,"#V3.24O","StartTime: Thu Aug  8 21:34:49 2013","EndTime: Thu Aug  8 21:35:37 2013"
"224",1420620000,163156000,4084470000,0.376278929702018,-133.246,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1451270000,165952000,4168790000,0.359783054555399,2696.02,0,0.2,19.5289,132.991,0.20046,0.106831,0.083415,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.707,0.65,0.4,0,0,0,0,0,0.0115939,0,37.5515,9.8487,30.7054,7.94634,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",84,"D1","E0","F0","G0","R0","S0","M0","cod",2.43857e-05,"#V3.24O","StartTime: Thu Aug  8 21:35:49 2013","EndTime: Thu Aug  8 21:36:34 2013"
"225",1420620000,163156000,4084470000,0.347486944450565,-134.01,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1466960000,167369000,4214580000,0.352345903980942,2611.16,0,0.2,20.1616,132.891,0.197671,0.10247,0.0958577,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7229,0.65,0.4,0,0,0,0,0,-0.017478,0,37.7651,9.80755,30.5656,12.9539,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",85,"D1","E0","F0","G0","R0","S0","M0","cod",6.99956e-06,"#V3.24O","StartTime: Thu Aug  8 21:36:42 2013","EndTime: Thu Aug  8 21:37:27 2013"
"226",1420620000,163156000,4084470000,0.324304010067402,-128.353,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1372180000,156208000,3940940000,0.30564027871523,2689.2,0,0.2,19.8615,133.741,0.197007,0.102971,0.0959479,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6428,0.65,0.4,0,0,0,0,0,-0.0312151,0,37.8703,9.97185,30.3256,8.85086,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",86,"D1","E0","F0","G0","R0","S0","M0","cod",4.42585e-05,"#V3.24O","StartTime: Thu Aug  8 21:37:35 2013","EndTime: Thu Aug  8 21:38:19 2013"
"227",1420620000,163156000,4084470000,0.315659069597769,-135.286,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1393690000,161966000,4011050000,0.330776230662794,2634.28,0,0.2,19.8986,129.239,0.20727,0.093352,0.107567,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7086,0.65,0.4,0,0,0,0,0,-0.0679283,0,37.9172,10.4985,30.2001,8.30721,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",87,"D1","E0","F0","G0","R0","S0","M0","cod",2.79299e-06,"#V3.24O","StartTime: Thu Aug  8 21:38:27 2013","EndTime: Thu Aug  8 21:39:14 2013"
"228",1420620000,163156000,4084470000,0.410523274745561,-153.55,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1410990000,161293000,4054940000,0.377894617429604,2629.75,0,0.2,19.9684,132.943,0.197247,0.101386,0.101213,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6845,0.65,0.4,0,0,0,0,0,0.0794355,0,38.3494,11.1766,31.0325,10.7207,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",88,"D1","E0","F0","G0","R0","S0","M0","cod",5.82778e-05,"#V3.24O","StartTime: Thu Aug  8 21:39:22 2013","EndTime: Thu Aug  8 21:40:08 2013"
"229",1420620000,163156000,4084470000,0.345109647028868,-138.004,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1390260000,161800000,4001110000,0.347746000484865,2607.42,0,0.2,19.5234,129.331,0.208629,0.098149,0.105318,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7017,0.65,0.4,0,0,0,0,0,0.0163342,0,37.8685,10.6412,30.1042,9.12783,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",89,"D1","E0","F0","G0","R0","S0","M0","cod",5.57765e-06,"#V3.24O","StartTime: Thu Aug  8 21:40:16 2013","EndTime: Thu Aug  8 21:41:03 2013"
"230",1420620000,163156000,4084470000,0.339657287236777,-137.745,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1406800000,160554000,4041100000,0.345368835218134,2645.62,0,0.2,20.0402,133.433,0.198242,0.100209,0.0910997,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6697,0.65,0.4,0,0,0,0,0,-0.0139475,0,37.9633,10.1996,30.3519,10.6403,1920.41234,1931.85582,2010.82698,2011.96098,0.95084,5,5,"D1-E0-F0-G0-R0-S0-M0-cod",90,"D1","E0","F0","G0","R0","S0","M0","cod",2.97668e-05,"#V3.24O","StartTime: Thu Aug  8 21:41:11 2013","EndTime: Thu Aug  8 21:41:57 2013"
